"시점","행정구역(시군구)별","성별",계,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2000","서울특별시","계",10287787,218124,143568.5,96622,85282,52857.5,32424.5,23654,7122,1311,337.5
"2000","부산광역시","계",3806888,94267.5,62552.5,38069.5,27807,17514.5,10292.5,7690.5,2100.5,385.5,116
"2000","대구광역시","계",2514981.5,61208.5,38699.5,24555.5,20171,12895.5,7275.5,5428.5,1544,232,71
"2000","인천광역시","계",2527427.5,52849.5,36674.5,25011.5,19803.5,12747,7056.5,5197.5,1532,251,76
"2000","광주광역시","계",1364260.5,28797.5,20579,13611.5,12430,7410,5020,3554.5,1147.5,252,66
"2000","대전광역시","계",1374576,28891.5,19889,13347.5,11540.5,7217,4323.5,3141,970.5,155.5,56.5
"2000","울산광역시","계",1032280.5,16237,11060.5,7314.5,6292.5,3956.5,2336,1771.5,468.5,74,22
"2000","경기도","계",9076836.5,203425,136694,90491.5,75559.5,47431.5,28128,20647,6112,1067,302
"2000","강원도","계",1555833.5,52016,38018,26841.5,23890.5,15256,8634.5,6340.5,1898.5,308,87.5
"2000","충청북도","계",1494795,51962,35456.5,24130.5,21135.5,13258,7877.5,5829,1680.5,277,91
"2000","충청남도","계",1920467,84400.5,55869,37302.5,32303.5,20161.5,12142,8796,2695.5,494.5,156
"2000","전라북도","계",2004381,78747,55129.5,36075,31602.5,19608,11994.5,8497,2753.5,558,186
"2000","전라남도","계",2142853.5,96478.5,68083.5,45907,38750.5,23050.5,15700,10832,3750,843,275
"2000","경상북도","계",2802872.5,113691.5,79311.5,53848,47580,30327,17253,12867.5,3593.5,603,189
"2000","경상남도","계",3087321,103203.5,72222.5,46394,34052,21399,12653,9271,2743,497,142
"2000","제주특별자치도","계",540556,16794,9666.5,7542.5,8225,4410,3815,2575,970.5,224,45.5
"2001","서울특별시","계",10287325,235303,149694,98193.5,89041,55142.5,33898.5,24542.5,7681.5,1342.5,332
"2001","부산광역시","계",3783521,100802,65502.5,39751,29553.5,18858.5,10695,7928.5,2265.5,381,120
"2001","대구광역시","계",2524681,65844.5,40752,25493,21067.5,13434.5,7633,5699.5,1613,252.5,68
"2001","인천광역시","계",2555183.5,56526,38518.5,25820.5,21106,13537,7569,5529.5,1706,256.5,77
"2001","광주광역시","계",1377837,30550,21650,13929,12970.5,7806,5164.5,3634.5,1207.5,256,66.5
"2001","대전광역시","계",1394385,31141,20946,13844,12117.5,7518,4599.5,3325.5,1059,162,53
"2001","울산광역시","계",1047921.5,17500,11646,7661.5,6595,4137,2458,1867,502.5,66.5,22
"2001","경기도","계",9381917.5,222870.5,146293,95182,81299.5,50966.5,30333,22090.5,6822.5,1122,298
"2001","강원도","계",1553547.5,55981.5,39246,27798.5,24779.5,15603.5,9176,6764.5,1989.5,330,92
"2001","충청북도","계",1497016.5,56023,36851.5,24745,21859,13564.5,8294.5,6144,1782.5,274.5,93.5
"2001","충청남도","계",1919870.5,89996.5,58213,38613.5,33432,20571.5,12860.5,9300.5,2875,530.5,154.5
"2001","전라북도","계",2002854.5,83090,57852,36449,32849,20362,12487,8896.5,2822,579,189.5
"2001","전라남도","계",2114961,100155.5,72125,46661,40268.5,24373,15895.5,10944.5,3828.5,858,264.5
"2001","경상북도","계",2790941,120179.5,81959.5,55120.5,49397,31407,17990,13374,3779.5,639.5,197
"2001","경상남도","계",3100457.5,107653,75289,48209,36147.5,23078,13069.5,9565,2849.5,504.5,150.5
