date,region,total,2024,2529,3034,3539
2000,seoul,1959208,466083.5,561790.5,479589,451745
2000,busan,670528,169042.5,169744.5,160607,171134
2000,daegu,461811.5,107025,119570.5,116760.5,118455.5
2000,incheon,470288,91559.5,114996,131126,132606.5
2000,gwangju,251835,62393,66519,62881,60042
2000,daejeon,256151.5,59330.5,65805,65677.5,65338.5
2000,ulsan,194098.5,37196.5,47331.5,56261.5,53309
2000,gyeonggi,1711534.5,310176.5,432525.5,495683,473149.5
2000,gangwon,248049,61154.5,60437,61528,64929.5
2000,chungcheongbukdo,247868.5,60898,61727,63714,61529.5
2000,chungcheongnamdo,293495,74318.5,72491.5,72872.5,73812.5
2000,jeonnabukdo,315034.5,84928.5,80099.5,75023.5,74983
2000,jeonnanamdo,304237,82482.5,72947.5,73759,75048
2000,gyeoungsangbukdo,444840,109466,111484,112999,110891
2000,gyeoungsangnamdo,523893,116591,130777.5,140370,136154.5
2000,jeju,93570.5,21559,25120.5,24090.5,22800.5
2001,seoul,1940473,469388,541370,496680.5,433034.5
2001,busan,655092.5,171382,161964.5,161367.5,160378.5
2001,daegu,456300,107761.5,114919,118479.5,115140
2001,incheon,465922.5,95595.5,109991,130782,129554
2001,gwangju,251217.5,63220,64393,64207.5,59397
2001,daejeon,256334,61147,64297.5,67657,63232.5
2001,ulsan,193028,38621.5,45017.5,56820,52569
2001,gyeonggi,1735122.5,324493,422768,513611,474250.5
2001,gangwon,243101.5,60672,58239.5,62104,62086
2001,chungcheongbukdo,243943.5,60578,59710,63980.5,59675
2001,chungcheongnamdo,288957.5,73195.5,70540,74153.5,71068.5
2001,jeonnabukdo,310714.5,84313.5,77288.5,76543,72569.5
2001,jeonnanamdo,295939,81445,69103,73497.5,71893.5
2001,gyeoungsangbukdo,436269,108462,107085.5,113391.5,107330
2001,gyeoungsangnamdo,516793,117657.5,124778,142453,131904.5
2001,jeju,92873.5,21602,23615,24959,22697.5
2002,seoul,1919569.5,469629,519942,508947,421051.5
2002,busan,639963,172521,154615,160196.5,152630.5
2002,daegu,449411.5,108602,109265,119104.5,112440
2002,incheon,460994,99785.5,105505.5,129509,126194
2002,gwangju,251932,64098,62644,65477.5,59712.5
2002,daejeon,256533,62536,63029,69133,61835
2002,ulsan,191853,39943.5,42976,56566.5,52367
2002,gyeonggi,1775364,343651,417989.5,533568,480155.5
2002,gangwon,237296,59915,55795,61826.5,59759.5
2002,chungcheongbukdo,239591.5,60414,57508,63669.5,58000
2002,chungcheongnamdo,283815,72303.5,68013.5,74513,68985
2002,jeonnabukdo,302908.5,82048,73794,76388.5,70678
2002,jeonnanamdo,286369.5,78942,65370,72403.5,69654
2002,gyeoungsangbukdo,426953.5,107345,102527.5,112933,104148
2002,gyeoungsangnamdo,511395,118642,119925.5,143341,129486.5
2002,jeju,92377.5,21824,22049.5,25689,22815
2003,seoul,1903704.5,468128,499787.5,511047.5,424741.5
2003,busan,625509.5,171513.5,147515,155637.5,150843.5
2003,daegu,443789,109016.5,103520,117450.5,113802
2003,incheon,454439,102223.5,101027.5,125712.5,125475.5
2003,gwangju,250907.5,64319,60317,65294,60977.5
2003,daejeon,257164,63242,61382.5,69076.5,63463
2003,ulsan,190453.5,40828.5,40875.5,54882.5,53867
2003,gyeonggi,1817581.5,363651,411980,541206,500744.5
2003,gangwon,230902.5,58596,52834,60336.5,59136
2003,chungcheongbukdo,236676.5,60126.5,54908.5,62324.5,59317
2003,chungcheongnamdo,281315,72103,65215,73714.5,70282.5
2003,jeonnabukdo,294411.5,78740,69689,74961.5,71021
2003,jeonnanamdo,276289,75772,61550,70039,68928
2003,gyeoungsangbukdo,415469.5,105128.5,96325.5,109840,104175.5
2003,gyeoungsangnamdo,508194.5,118704,114887,142004.5,132599
2003,jeju,91229.5,21769.5,20590.5,25767.5,23102
2004,seoul,1885278,454294.5,487787,509054,434142.5
2004,busan,611998,165903,143440.5,151127,151527.5
2004,daegu,436041.5,105992,99482,114605,115962.5
2004,incheon,446408.5,101478,97773.5,121278,125879
2004,gwangju,247594.5,62340.5,58304,64706,62244
2004,daejeon,256214,62299.5,59837,68273.5,65804
2004,ulsan,188430.5,40724,39451,52838.5,55417
2004,gyeonggi,1841419,372192,406403,539216,523608
2004,gangwon,225179.5,56269,50403.5,58870,59637
2004,chungcheongbukdo,233325.5,58290.5,52591,60569.5,61874.5
2004,chungcheongnamdo,283374,72449.5,63769,73993,73162.5
2004,jeonnabukdo,285612.5,74629.5,65395,73627.5,71960.5
2004,jeonnanamdo,266035.5,71259.5,58463.5,67584.5,68728
2004,gyeoungsangbukdo,402757,100633,90820,106067,105237
2004,gyeoungsangnamdo,502509,115570,110213,139171.5,137554.5
2004,jeju,89699.5,21121.5,19680,25360,23538
2005,seoul,1862398,428178.5,489831,501079,443309.5
2005,busan,597484,154932.5,145089,146094.5,151368
2005,daegu,424180.5,99042,98290.5,110675,116173
2005,incheon,439717,98133,98440.5,117437.5,125706
2005,gwangju,243595,58605,58237,63586.5,63166.5
2005,daejeon,253890.5,59764,60084,66935,67107.5
2005,ulsan,185132,39212.5,39502.5,50423,55994
2005,gyeonggi,1852209.5,368932.5,412638,530731,539908
2005,gangwon,219377,52852.5,49480,57188,59856.5
2005,chungcheongbukdo,228430,55051,51738.5,58818.5,62822
2005,chungcheongnamdo,284475.5,71022,64527,74201.5,74725
2005,jeonnabukdo,273434.5,68928.5,62475.5,70773.5,71257
2005,jeonnanamdo,256560,65830.5,57451.5,64944.5,68333.5
2005,gyeoungsangbukdo,391061,93903,89167.5,102626.5,105364
2005,gyeoungsangnamdo,493796.5,109172.5,108972.5,134980.5,140671
2005,jeju,88348,20022,19542.5,24614,24169.5
2006,seoul,1844640,402830.5,496447,486395.5,458967
