date,region,total,6569,7074,7579,8084,8589,9094,9599,100UP
2000,seoul,543596.5,218124,143568.5,96622,52857.5,23654,7122,1311,337.5
2000,busan,222696.5,94267.5,62552.5,38069.5,17514.5,7690.5,2100.5,385.5,116
2000,daegu,144634.5,61208.5,38699.5,24555.5,12895.5,5428.5,1544,232,71
2000,incheon,134339,52849.5,36674.5,25011.5,12747,5197.5,1532,251,76
2000,gwangju,75418,28797.5,20579,13611.5,7410,3554.5,1147.5,252,66
2000,daejeon,73668.5,28891.5,19889,13347.5,7217,3141,970.5,155.5,56.5
2000,ulsan,40904.5,16237,11060.5,7314.5,3956.5,1771.5,468.5,74,22
2000,gyeonggi,506170,203425,136694,90491.5,47431.5,20647,6112,1067,302
2000,gangwon,140766,52016,38018,26841.5,15256,6340.5,1898.5,308,87.5
2000,chungcheongbukdo,132684.5,51962,35456.5,24130.5,13258,5829,1680.5,277,91
2000,chungcheongnamdo,209875.5,84400.5,55869,37302.5,20161.5,8796,2695.5,494.5,156
2000,jeonnabukdo,201554,78747,55129.5,36075,19608,8497,2753.5,558,186
2000,jeonnanamdo,249219.5,96478.5,68083.5,45907,23050.5,10832,3750,843,275
2000,gyeoungsangbukdo,294431,113691.5,79311.5,53848,30327,12867.5,3593.5,603,189
2000,gyeoungsangnamdo,255872,103203.5,72222.5,46394,21399,9271,2743,497,142
2000,jeju,42228,16794,9666.5,7542.5,4410,2575,970.5,224,45.5
2001,seoul,572231.5,235303,149694,98193.5,55142.5,24542.5,7681.5,1342.5,332
2001,busan,235609,100802,65502.5,39751,18858.5,7928.5,2265.5,381,120
2001,daegu,153157,65844.5,40752,25493,13434.5,5699.5,1613,252.5,68
2001,incheon,141971,56526,38518.5,25820.5,13537,5529.5,1706,256.5,77
2001,gwangju,79099.5,30550,21650,13929,7806,3634.5,1207.5,256,66.5
2001,daejeon,78048.5,31141,20946,13844,7518,3325.5,1059,162,53
2001,ulsan,43402.5,17500,11646,7661.5,4137,1867,502.5,66.5,22
2001,gyeonggi,545645,222870.5,146293,95182,50966.5,22090.5,6822.5,1122,298
2001,gangwon,147805.5,55981.5,39246,27798.5,15603.5,6764.5,1989.5,330,92
2001,chungcheongbukdo,139478.5,56023,36851.5,24745,13564.5,6144,1782.5,274.5,93.5
2001,chungcheongnamdo,220255,89996.5,58213,38613.5,20571.5,9300.5,2875,530.5,154.5
2001,jeonnabukdo,210240,83090,57852,36449,20362,8896.5,2822,579,189.5
2001,jeonnanamdo,259210,100155.5,72125,46661,24373,10944.5,3828.5,858,264.5
2001,gyeoungsangbukdo,306656.5,120179.5,81959.5,55120.5,31407,13374,3779.5,639.5,197
2001,gyeoungsangnamdo,267298.5,107653,75289,48209,23078,9565,2849.5,504.5,150.5
2001,jeju,44434,17907,10610.5,7375.5,4656.5,2586,1038,214,46.5
2002,seoul,599340,250576.5,155707,99641,57784,25716.5,8195,1401.5,318.5
2002,busan,248392.5,106352.5,68823,41494,20519.5,8243.5,2461.5,389,109.5
2002,daegu,161542.5,69439,43360,26440,14177.5,6057,1722.5,278.5,68
2002,incheon,149230.5,59824.5,40395.5,26421.5,14486.5,5868,1863.5,286.5,84.5
2002,gwangju,82967.5,32511,22411.5,14287,8342.5,3801.5,1284,265,65
2002,daejeon,82570.5,33218,22042.5,14383.5,8003,3545.5,1147,178,53
2002,ulsan,46026,18659,12299,8036,4394,1995,544,77.5,21.5
2002,gyeonggi,590400.5,243200.5,157930.5,100280,55955,23931.5,7545,1271,287
2002,gangwon,155295,60556,40487.5,28232,16108,7355.5,2097,366,93
2002,chungcheongbukdo,145842,59415.5,38381.5,24947,14330.5,6464,1920,301,82.5
2002,chungcheongnamdo,229839,93291,61883,39334,21772,9733,3113.5,559,153.5
2002,jeonnabukdo,217964,85782.5,59786.5,37780.5,21560,9326,2939.5,603,186
2002,jeonnanamdo,269092,104177,75401.5,47054,26102.5,11314.5,3917,867,258.5
2002,gyeoungsangbukdo,318215,124567.5,85349,56446.5,32704.5,14158,4098.5,697.5,193.5
2002,gyeoungsangnamdo,279538,111146.5,79567,49906.5,25195.5,10051.5,2992.5,538.5,140
2002,jeju,46793,18873.5,11620,7284,5000,2653,1093,219.5,50
2003,seoul,629846,266029.5,162511.5,102250,61813,26784,8607.5,1544.5,306
