number,title,category,dept,question,answer,comment
2,"그냥..조언 한마디 부탁드려요,,",입시 상담,호텔경영학과,"제가 공부를 못한다는건 압니다
지금은 고3이고 너무 고민이에요
1학년1학기 종합성적 6.7 
2학기 6.3
2학년 1학기 6.0
2학기 7.0
2학기때는 위탁간다고 작정하고 아예 놔버려서 바닥입이다 지금은 너무후회중입니다...
오늘 3학년 시험 끝났는데 이번에도 유지거나 하락일거같아요
2년제만 갈수밖에없는거 아는데 자꾸 4년제 욕심이 나네요..",지방끝에 4년제 가실라면 가세요 근데 후회많이 하실듯,None
2,"그냥..조언 한마디 부탁드려요,,",입시 상담,호텔경영학과,"제가 공부를 못한다는건 압니다
지금은 고3이고 너무 고민이에요
1학년1학기 종합성적 6.7 
2학기 6.3
2학년 1학기 6.0
2학기 7.0
2학기때는 위탁간다고 작정하고 아예 놔버려서 바닥입이다 지금은 너무후회중입니다...
오늘 3학년 시험 끝났는데 이번에도 유지거나 하락일거같아요
2년제만 갈수밖에없는거 아는데 자꾸 4년제 욕심이 나네요..","솔직하게 말해서 그 성적으로 인하공전 호텔과도 쉽지않아요
4년제 원하시면 지금부터라도 
제대로 마음잡고 빡세게 공부해서 재수하세요",None
2,"그냥..조언 한마디 부탁드려요,,",입시 상담,호텔경영학과,"제가 공부를 못한다는건 압니다
지금은 고3이고 너무 고민이에요
1학년1학기 종합성적 6.7 
2학기 6.3
2학년 1학기 6.0
2학기 7.0
2학기때는 위탁간다고 작정하고 아예 놔버려서 바닥입이다 지금은 너무후회중입니다...
오늘 3학년 시험 끝났는데 이번에도 유지거나 하락일거같아요
2년제만 갈수밖에없는거 아는데 자꾸 4년제 욕심이 나네요..","유명 2년제도 어렵습니다.
편입 혹은 재수를 추천드려봅니다.",None
2,"그냥..조언 한마디 부탁드려요,,",입시 상담,호텔경영학과,"제가 공부를 못한다는건 압니다
지금은 고3이고 너무 고민이에요
1학년1학기 종합성적 6.7 
2학기 6.3
2학년 1학기 6.0
2학기 7.0
2학기때는 위탁간다고 작정하고 아예 놔버려서 바닥입이다 지금은 너무후회중입니다...
오늘 3학년 시험 끝났는데 이번에도 유지거나 하락일거같아요
2년제만 갈수밖에없는거 아는데 자꾸 4년제 욕심이 나네요..",죄송한데 지잡전문대 간신히 들어가실 수준인데 현실을 깨달으시길,None
2,"그냥..조언 한마디 부탁드려요,,",입시 상담,호텔경영학과,"제가 공부를 못한다는건 압니다
지금은 고3이고 너무 고민이에요
1학년1학기 종합성적 6.7 
2학기 6.3
2학년 1학기 6.0
2학기 7.0
2학기때는 위탁간다고 작정하고 아예 놔버려서 바닥입이다 지금은 너무후회중입니다...
오늘 3학년 시험 끝났는데 이번에도 유지거나 하락일거같아요
2년제만 갈수밖에없는거 아는데 자꾸 4년제 욕심이 나네요..","3등급에서 1등급 올리는건 어려워도 7등급에서 5등급 올리는건 생각보다 매우매우 쉽습니다. 이번 학기 기말고사 남아있으니까 충분히 가능합니다. 올해만 빡세게 공부하실 자신 있으시면 나 죽었다 생각하고 이번 학기는 5등급, 다음 학기는 그 이상을 목표로 공부하세요. 그럼 폴리텍 바이오캠퍼스는 합격하실 수 있을 겁니다.",None
3,인하공전 or 비전문 4년제,입시 상담,항공운항과,승무원에서 인하공전이 탑인건 알고 있지만 대학백과와 여러 다른 분들의 말씀을 들어본 결과 인서울 어학계열에 들어갈정도면 폭이 훨씬 넓어지니 가능하다면 인서울 어학 계열로 들어가는게 당연히 이득이다 라고 말씀하시는 분들이 많은시더라고요 그래서 고민 중입니다 성적을 아예 끌어올려서 어학계열로 들어가는게 나을지 아님 원래 준비하던대로 인하공전을 가는게 맞을지.. 너무 고민됩니다. 냉정하게 말씀해주시면 감사하겠습니다!,"성적 최대한 올려놓고 원서를 다양하게 쓰는 걸 추천합니당,, 인하공전에 무조건 합격한다는 보장이 없으니 어문계열도 원서 내보세용~",[질문자]네! 감사합니다🥹🫶
3,인하공전 or 비전문 4년제,입시 상담,항공운항과,승무원에서 인하공전이 탑인건 알고 있지만 대학백과와 여러 다른 분들의 말씀을 들어본 결과 인서울 어학계열에 들어갈정도면 폭이 훨씬 넓어지니 가능하다면 인서울 어학 계열로 들어가는게 당연히 이득이다 라고 말씀하시는 분들이 많은시더라고요 그래서 고민 중입니다 성적을 아예 끌어올려서 어학계열로 들어가는게 나을지 아님 원래 준비하던대로 인하공전을 가는게 맞을지.. 너무 고민됩니다. 냉정하게 말씀해주시면 감사하겠습니다!,인하공전이 경쟁률이 높아 동시 병행을 추천드립니다!,None
4,학점따기 어려운편인가요??,대학 생활,비서학과,"학점 평균이 몇인지 궁금합니다.. 4점대정도 되려면 많이 힘들까요? 또 시험 난이도는 어느정도인가요?
마지막으로 무슨수업들이 있는지 궁금합니당!",학점에 평균 같은건 따로 없지 않을까요…?? 어차피 교수님마다 조금씩 다르고… 4점대는 조금 노력한다고 되는게 아닐닙니당… 과제 + 시험을 다 잘해야겠죵! 시험은 배운거 위주로 나와요! 비서학이론 + 컴퓨터 실무 과목들 배워요 학교 홈페이지 가면 자세하게 나와있을거에요!,None
5,항공운항과 내신등급,입시 상담,항공운항과,"항공과 지원하고 싶은 학생인데요!
내신 몇 정도 깔고 지원해야지 안전빵으로 
들어갈 수 있을까요 ㅜㅜ!!!!!! 혹시 5등급~6등급으로
들어가신 분들도 꽤 있나요??ㅠㅠ 나머지 과목들은
괜찮은데 수학때문에 등급이 훅 내려가요 도와주세요😭😭",7등급도 들어오는 과인데 충분할거같네여,"[질문자]ㅠㅠ답글 달아주셔서 너무너무 감사합니다!!
열심히 해볼게요! 좋은 하루 보내세요🩷🩷"
5,항공운항과 내신등급,입시 상담,항공운항과,"항공과 지원하고 싶은 학생인데요!
내신 몇 정도 깔고 지원해야지 안전빵으로 
들어갈 수 있을까요 ㅜㅜ!!!!!! 혹시 5등급~6등급으로
들어가신 분들도 꽤 있나요??ㅠㅠ 나머지 과목들은
괜찮은데 수학때문에 등급이 훅 내려가요 도와주세요😭😭",제 주변에는 5점대는 못 본 거 같은데 아예 가능성이 없는 게 아니니!! 파이팅 🥳,None
